Taxpayer_ID,First_Name,Last_Name,Filing_Status,Adjusted_Gross_Income,Tax_Year,Address,Email,Update_Timestamp,Deleted
9001,Alice,Smith,Single,82000,2025,101 Elm St,alice.smith@email.com,2026-01-01,n
9002,Bob,Johnson,Married,95000,2025,202 Pine Ave,bob.j@email.com,2026-01-01,n
9003,Charlie,Lee,Single,67000,2025,303 Maple Rd,charlie.l@email.com,2026-01-01,n
9004,Dana,Kim,Married,125000,2025,404 Aspen Dr,dana.kim@email.com,2026-01-01,n
9005,Eva,Patel,Head of Household,59000,2025,505 Birch Ln,eva.patel@email.com,2026-01-01,n
9006,Frank,Nguyen,Single,71000,2025,606 Cedar Ct,frank.nguyen@email.com,2026-01-01,n
9007,Grace,O'Brien,Married,113250,2025,707 Walnut St,grace.obrien@email.com,2026-01-01,n
9008,Hector,Cruz,Single,86500,2025,808 Chestnut Rd,hector.cruz@email.com,2026-01-01,n
9009,Isabel,Martinez,Single,72000,2025,909 Redwood Blvd,isabel.martinez@email.com,2026-01-01,n
9010,Jackie,Chen,Single,99000,2025,1010 Spruce Ave,jackie.chen@email.com,2026-01-01,n
